comprimento_msg,contem_exclamacao,palavras_negativas,label
113,1,0,1
91,0,1,0
82,0,1,0
108,1,0,1
25,1,3,1
130,0,4,1
104,1,0,1
122,1,2,1
83,1,2,0
119,1,2,1
48,1,0,0
58,0,1,0
103,0,2,0
119,1,1,1
14,1,2,0
108,1,3,1
25,1,2,0
44,1,0,0
39,0,4,1
35,0,1,0
69,0,2,0
131,1,0,1
143,0,4,1
143,0,1,0
114,0,2,0
73,0,4,1
11,0,1,0
21,1,1,0
58,0,1,0
117,1,0,1
85,1,1,0
87,0,3,1
100,0,4,1
94,0,1,0
108,0,0,0
135,0,2,0
78,0,4,1
41,1,2,0
141,0,1,0
126,1,4,1
81,1,3,1
49,0,3,1
41,1,1,0
81,0,4,1
21,0,0,0
131,0,0,0
117,0,1,0
25,0,0,0
114,0,0,0
102,0,2,0
124,1,4,1
78,1,3,1
87,1,4,1
126,0,2,0
41,1,3,1
38,0,4,1
143,1,1,1
23,1,4,1
46,1,4,1
15,0,1,0
139,0,0,0
107,0,2,0
25,0,2,0
127,1,2,1
42,0,0,0
45,0,3,1
132,1,4,1
93,1,2,0
105,0,1,0
112,1,2,1
53,0,3,1
78,0,0,0
149,0,0,0
56,1,3,1
87,1,4,1
97,1,4,1
51,1,3,1
91,0,2,0
47,1,3,1
49,1,2,0
89,0,4,1
42,0,2,0
140,0,0,0
102,1,3,1
22,1,4,1
66,1,3,1
103,1,4,1
114,1,4,1
53,0,4,1
50,0,0,0
13,1,2,0
142,1,0,1
94,1,4,1
91,0,0,0
102,1,3,1
98,1,1,0
96,0,1,0
22,1,2,0
92,0,4,1
136,1,1,1
125,1,2,1
73,0,2,0
20,0,4,1
63,0,3,1
43,1,0,0
125,1,4,1
31,0,3,1
39,1,0,0
123,0,2,0
12,1,3,1
88,1,2,0
122,1,0,1
40,0,1,0
54,1,4,1
30,0,2,0
80,1,4,1
39,0,3,1
73,0,3,1
137,1,1,1
13,0,4,1
108,0,1,0
86,1,1,0
14,0,1,0
48,0,2,0
72,1,4,1
136,0,3,1
124,0,0,0
51,0,1,0
44,1,2,0
41,1,3,1
84,0,0,0
130,0,0,0
122,1,3,1
56,1,3,1
88,0,0,0
147,0,1,0
146,1,1,1
66,0,4,1
66,0,0,0
31,1,1,0
59,0,4,1
57,0,4,1
106,1,1,1
84,1,1,0
136,1,4,1
114,1,3,1
148,0,0,0
61,1,0,0
94,1,0,0
135,1,3,1
104,1,2,1
66,1,4,1
41,0,1,0
70,0,1,0
131,0,2,0
49,1,3,1
100,0,4,1
103,0,3,1
28,1,2,0
28,1,4,1
117,1,1,1
31,1,2,0
11,1,2,0
32,1,0,0
135,1,3,1
113,0,1,0
20,1,4,1
106,0,4,1
136,0,2,0
130,0,2,0
137,0,1,0
116,1,0,1
102,1,2,1
10,1,3,1
137,0,0,0
131,0,2,0
47,0,0,0
15,0,1,0
76,1,0,0
143,1,3,1
119,0,0,0
99,0,4,1
25,0,2,0
128,0,3,1
28,1,1,0
12,0,3,1
129,1,3,1
107,1,0,1
115,0,3,1
128,0,0,0
26,1,3,1
113,1,3,1
141,0,1,0
52,0,4,1
117,1,0,1
145,0,3,1
20,0,4,1
106,1,1,1
30,1,1,0
133,1,4,1
